Data,Startup,O que,Investidor,Valor,
9/1/2015,Dinheirama,raised funds from,Rico,"BRL 2,000,000",
9/1/2015,ezBill,was acquired by,Asaas,,
9/1/2015,Exact Sales,raised funds from,,"BRL 10,000,000",
7/1/2015,Kickoff,raised funds from,Monashees Capital,"USD 1,600,000",
8/1/2015,Loggi,raised funds from,"Monashees Capital
Dragoneer Investment Group
Qualcomm Ventures","BRL 50,000,000",
7/1/2015,Hotel Urbano,raised funds from,Priceline Group,"USD 60,000,000",
7/1/2015,Resultados Digitais,raised funds from,DGF Investimentos,"BRL 15,000,000",
6/1/2015,Contabilizei Contabilidade Online,raised funds from,Kaszek Ventures,,
6/1/2015,Beleza na Web,raised funds from,,"USD 30,000,000",
6/1/2015,Sieve,was acquired by,B2W,"BRL 130,000,000",
6/1/2015,Visor,raised funds from,Accera,,
6/1/2015,GetNinjas,raised funds from,"Tiger Global Management
Kaszek Ventures
Monashees Capital","BRL 40,000,000",
6/1/2015,Descomplica,raised funds from,Amadeus Capital Partners,"USD 7,000,000",
6/1/2015,Sub100,was acquired by,Zap,,
6/1/2015,Meus Pedidos,raised funds from,"Monashees Capital
Qualcomm Ventures","USD 1,870,000",
6/1/2015,Smartbill RBM,raised funds from,Fundo de Inovação Paulista,,
6/1/2015,TecnoNutri,was acquired by,Minha Vida,,
6/1/2015,Target.IT,merged with,Spadari,,
6/1/2015,Pareto Group,incubated by,StartSe,"BRL 1,000,000",
6/1/2015,Asaas,raised funds from,CVentures Primus,"BRL 2,000,000",
6/1/2015,Nubank,raised funds from,Tiger Global Management,"USD 30,000,000",
6/1/2015,iFood,raised funds from,Movile,"USD 50,000,000",
5/1/2015,Submarino Viagens,was acquired by,CVC,"BRL 80,000,000",
5/1/2015,Logovia,merged with,We Do Logos,,
5/1/2015,EduK,raised funds from,Accel Partners,"USD 10,000,000",
5/1/2015,Geekie,raised funds from,"Gera Venture
Mitsui & Co
Omidyar","USD 7,000,000",
5/1/2015,EduK,raised funds from,Monashees Capital,"USD 10,000,000",
5/1/2015,Edools,raised funds from,500 Startups,,
5/1/2015,Monetar,was acquired by,Geração Futuro,,
4/1/2015,Scup,was acquired by,Sprinklr,BRL,
4/1/2015,OndaLocal,raised funds from,"John Berkowitz
Narbona Hills","USD 1,000,000",
4/1/2015,Mercado Eletrônico,raised funds from,DGF Investimentos,"BRL 30,000,000",
4/1/2015,A Deliveria,was acquired by,iFood,,
4/1/2015,eÓtica,merged with,Lema21,,
4/1/2015,TrabalhoJá,raised funds from,Capital Indigo,"BRL 20,000,000",
4/1/2015,Samba Ads,raised funds from,,"BRL 3,000,000",
4/1/2015,TrabalhoJá,raised funds from,Capital Indigo,"BRL 20,000,000",
4/1/2015,Dress & Go,raised funds from,Kaszek Ventures,,
4/1/2015,Vemm,was acquired by,QuinStreet,,
4/1/2015,Movile,raised funds from,Naspers,"BRL 125,000,000",
4/1/2015,Exxemplo,was acquired by,B2Finance,"BRL 7,000,000",
4/1/2015,Rock Content,raised funds from,,"BRL 6,000,000",
4/1/2015,KPL Soluções,was acquired by,MercadoLibre,"BRL 50,000,000",
4/1/2015,Agendor,raised funds from,HBS Alumni Angels,"BRL 1,200,000",
4/1/2015,Home2Home,raised funds from,Mario Letelier,"BRL 3,000,000",
4/1/2015,Ezlike,was acquired by,Gravity4,,
3/1/2015,ChefsClub,raised funds from,Confrapar,"BRL 3,000,000",
3/1/2015,Netshoes,raised funds from,"Riverwood Capital
IFC","USD 45,000,000",
3/1/2015,Apetitar,was acquired by,iFood,,
3/1/2015,Consulfarma,was acquired by,MV,,
3/1/2015,Vivera,was acquired by,Zenvia,,
3/1/2015,Decolar.com,raised funds from,Expedia,"USD 270,000,000",
3/1/2015,Ventrix,raised funds from,"BRL 5,000,000",,
3/1/2015,Navita,raised funds from,DLM,,
3/1/2015,Startupi,was acquired by,Beats Brasil,,
2/1/2015,w3net,was acquired by,Lugar de Gente,,
2/1/2015,RBM Solutions,raised funds from,Salix Group,"BRL 20,000,000",
2/1/2015,Chegue.lá,was acquired by,ClickBus,,
2/1/2015,Voopter,raised funds from,Global Founders Capital,,
2/1/2015,pinGObox,was acquired by,Cappta,,
2/1/2015,Arquivar,was acquired by,Recall,,
2/1/2015,ContaAzul,raised funds from,"Tiger Global Management
500 Startups
Ribbit Capital
Valar Ventures
Monashees Capital","USD 9,300,000",
2/1/2015,Concil,raised funds from,Fundo de Inovação Paulista,"BRL 1,000,000",
2/1/2015,Agrid,incubated by,Wayra Brasil,"BRL 140,000",
2/1/2015,Conube,raised funds from,Carlos Gamboa,,
2/1/2015,TraktoPRO,raised funds from,João Kepler Braga,,
2/1/2015,Neolog,was acquired by,Totvs,"BRL 15,500,000",
2/1/2015,Ecommet,raised funds from,MercadoLibre,,
2/1/2015,Aquarius,was acquired by,Senior Solution,"BRL 6,500,000",
2/1/2015,Nativoo,raised funds from,Sbtur,,
1/1/2015,eStoks,raised funds from,Performa,"BRL 5,000,000",
2/1/2015,99 Taxis,raised funds from,"Tiger Global Management
Monashees Capital
Qualcomm Ventures",,
1/1/2015,Seekr,raised funds from,CVentures Primus,,
1/1/2015,Sontra,raised funds from,Valor Capital,"BRL 5,000,000",
1/1/2015,GPS Conecta,merged with,Safebus,,
1/1/2015,ZeroPaper,was acquired by,Intuit,,
1/1/2015,Linte,raised funds from,500 Startups,USD,
1/1/2015,Superbank,was acquired by,Banco Santander,,
1/1/2015,Primordia,was acquired by,Vtex,,
1/1/2015,VMotors,was acquired by,Webmotors,,
1/1/2015,Reclamao.com,raised funds from,"Grow Ventures
C2i",,
12/1/2014,Satellogic,raised funds from,Fundo Pitanga,,
12/1/2014,Worldpackers,raised funds from,IndicatorCapital,"BRL 2,000,000",
12/1/2014,Enjoei,raised funds from,,"BRL 18,000,000",
12/1/2014,Medicware,was acquired by,Pixeon,,
12/1/2014,Softpharma,was acquired by,Linx,"BRL 44,000,000",
12/1/2014,Satellogic,raised funds from,NXTP Labs,"USD 350,000",
12/1/2014,NWB,raised funds from,"e.Bricks Digital
Joá Investimentos",,
12/1/2014,Dot Legend,raised funds from,Criatec,"BRL 2,500,000",
12/1/2014,Agrid,incubated by,Startup Chile,"USD 40,000",
11/1/2014,Lighthouse,was acquired by,Datum,,
11/1/2014,Likeeds,raised funds from,NXTP Labs,"USD 25,000",
11/1/2014,aceitaFacil Pagamentos,incubated by,Startup Chile,"USD 40,000",
11/1/2014,Condutor,was acquired by,Riverwood Capital,,
11/1/2014,Elo7,raised funds from,"Insight Venture Partners
Accel Partners
Monashees Capital","USD 11,000,000",
11/1/2014,Alma Shopping,raised funds from,NXTP Labs,"USD 60,000",
11/1/2014,Rock N' Roll Game Studio,raised funds from,NXTP Labs,"USD 25,000",
11/1/2014,Flipaste,raised funds from,NXTP Labs,"USD 25,000",
11/1/2014,OM Latam,raised funds from,NXTP Labs,"USD 25,000",
11/1/2014,Alma Shopping,raised funds from,NXTP Labs,"USD 60,000",
11/1/2014,Viflux,raised funds from,NXTP Labs,"USD 25,000",
11/1/2014,Caronas.com,was acquired by,Tripda,,
11/1/2014,Unicaronas,was acquired by,Tripda,,
11/1/2014,Love Mondays,raised funds from,Kaszek Ventures,,
11/1/2014,Zenvia,raised funds from,BNDES,"BRL 35,500,000",
11/1/2014,BovControl,raised funds from,Redpoint e.ventures,,
11/1/2014,Carreira Beauty,raised funds from,Redpoint e.ventures,,
10/1/2014,Viva Real,raised funds from,"LeadEdge Capital
Spark Capital","USD 41,300,000",
10/1/2014,Giran,was acquired by,Wine,,
10/1/2014,Nofeela,raised funds from,Kees Koolen,,
10/1/2014,Papa Rango,was acquired by,iFood,,
10/1/2014,Alakarte,was acquired by,iFood,,
10/1/2014,Synapsis,was acquired by,Tivit,,
10/1/2014,Profes,raised funds from,Grid Investments,,
10/1/2014,CinePapaya,raised funds from,Movile,"USD 2,000,000",
10/1/2014,3.30E+35,raised funds from,João Kepler Braga,"BRL 300,000",
10/1/2014,Strider,raised funds from,Barn Invest,"BRL 5,000,000",
10/1/2014,Pagar.me,raised funds from,"ArpexCapital
Grid Investments","BRL 1,000,000",
10/1/2014,Maplink,raised funds from,Movile,"BRL 36,000,000",
10/1/2014,Big Sistemas,was acquired by,Linx,"BRL 38,700,000",
10/1/2014,Peixe Urbano,was acquired by,Baidu,"USD 5,000,000",
10/1/2014,Properati,raised funds from,"NXTP Labs
NEVEQ II","USD 2,000,000",
10/1/2014,Printi,was acquired by,Vistaprint,,
10/1/2014,Sythex,was acquired by,Senior Solution,,
10/1/2014,trampos.co,raised funds from,Evolution,,
10/1/2014,Medicinia,raised funds from,Redpoint e.ventures,,
9/1/2014,LBS Local,raised funds from,Movile,"BRL 36,000,000",
9/1/2014,Precifica,raised funds from,Hi Partners,"BRL 3,000,000",
9/1/2014,Entire TP,was acquired by,Interplayers,,
9/1/2014,Nubank,raised funds from,"Kaszek Ventures
Sequoia Capital
Berggruen Holdings","USD 13,800,000",
9/1/2014,TrustSign,was acquired by,SiteBlindado,,
9/1/2014,Loggi,raised funds from,"Monashees Capital
Qualcomm Ventures","BRL 10,000,000",
9/1/2014,TrustSign,was acquired by,SiteBlindado,,
9/1/2014,Empowered Company Strategy,was acquired by,Interplayers,,
9/1/2014,Entrega Delivery,was acquired by,HelloFood Brasil,,
9/1/2014,NZN,raised funds from,H.I.G. Capital,,
9/1/2014,WImoveis,was acquired by,Imovelweb,,
9/1/2014,maxiPago!,was acquired by,Rede,,
8/1/2014,iFood,was acquired by,Movile,,
9/1/2014,Emprego Ligado,raised funds from,"e.Bricks Digital
Monashees Capital
Qualcomm Ventures","USD 7,000,000",
8/1/2014,Workana,raised funds from,"NXTP Labs
DMGT","USD 500,000",
8/1/2014,Nibo,raised funds from,"Redpoint e.ventures
Valor Capital",,
8/1/2014,Itaro,raised funds from,"Astella
Simile Venture Partners
IG Angels
TA Ventures
Variv Capital",,
8/1/2014,ClickBus,raised funds from,"Rocket Internet
Holtzbrinck
LIH
Tengelmann Group","USD 10,000,000",
8/1/2014,99 Motos,was acquired by,incube,"BRL 3,000,000",
8/1/2014,Mailee,was acquired by,Rede Host,,
8/1/2014,Dino,raised funds from,"Silvio Genesini
Antonio de Athayde","BRL 400,000",
8/1/2014,SitePX,raised funds from,Sul! Internet,"BRL 3,000,000",
8/1/2014,00k,raised funds from,MercadoLibre,,
8/1/2014,Movile,raised funds from,"Innova Capital
Finep","USD 55,000,000",
8/1/2014,AirCRM,raised funds from,MercadoLibre,,
8/1/2014,intoo,raised funds from,MercadoLibre,,
8/1/2014,InfoSolution,was acquired by,BRQ,,
8/1/2014,Yoozon,incubated by,Startup Chile,"USD 40,000",
7/1/2014,Navita,raised funds from,Intel Capital,,
7/1/2014,Tipit,was acquired by,Netshow.me,,
7/1/2014,Torcedores.com,raised funds from,"Pedro Navio
Bryan Johnson
Craig Earnshaw",,
7/1/2014,Easy Taxi,raised funds from,"Tengelmann Group
Phenomen Ventures","USD 40,000,000",
7/1/2014,Alog,was acquired by,Equinix,"USD 225,000,000",
7/1/2014,Blumpa,raised funds from,NH Investimentos,,
7/1/2014,Baby.com.br,was acquired by,BebêStore,,
7/1/2014,BTCTrip,raised funds from,NXTP Labs,"USD 150,000",
6/1/2014,Superplayer,raised funds from,"21212
Movile","BRL 1,150,000",
6/1/2014,Wideo,raised funds from,NXTP Labs,"USD 50,000",
6/1/2014,Sythex TMS Embarcardor,was acquired by,MercadoLibre,,http://dealbook.co/deals?page=14
6/1/2014,Netshow.me,raised funds from,"Rodrigo Borges
Antônio Henrique Prado",,
6/1/2014,Tectum,was acquired by,Sankhya,,
6/1/2014,Woowup,raised funds from,NXTP Labs,"USD 25,000",
6/1/2014,Ingresse,raised funds from,"Qualcomm Ventures
e.Bricks Digital
DGF Investimentos","BRL 10,000,000",
6/1/2014,Sascar,was acquired by,Michelin,"USD 602,000,000",
6/1/2014,Piggme,raised funds from,Haya Investimentos,"BRL 3,200,000",
6/1/2014,E2E,raised funds from,A5 Investimentos,"BRL 5,000,000",
6/1/2014,Gestor,was acquired by,Rede Cigam,"BRL 8,000,000",
6/1/2014,INBEP,raised funds from,Altivia Ventures,,
5/1/2014,Evino,raised funds from,,"BRL 7,000,000",
6/1/2014,Unum Tecnologia e Consultoria em Informática,was acquired by,Bematech,"BRL 30,000,000",
6/1/2014,Adtrade,was acquired by,ESV Digital Brasil,,
5/1/2014,Aquiris Game Studio,raised funds from,CRP Companhia de Participações,,
5/1/2014,Zase,incubated by,Abril Plug And Play,"USD 25,000",
5/1/2014,Guiabolso,raised funds from,"Kaszek Ventures
Valor Capital
e.Bricks Digital
Gabriel Jaramillo","USD 3,000,000",
5/1/2014,Virtual Age,was acquired by,Totvs,"BRL 75,000,000",
5/1/2014,Rezende Sistemas,was acquired by,Linx,"BRL 49,900,000",
5/1/2014,Everypost,raised funds from,NXTP Labs,"USD 100,000",
5/1/2014,MaxiHost,was acquired by,Host,,
5/1/2014,SemSenha.com,incubated by,SEED - Startups and Entrepreneurship Ecosystem Development,BRL,
5/1/2014,Intiza,raised funds from,NXTP Labs,"USD 15,000",
5/1/2014,SensorWeb,raised funds from,Fanem,,
5/1/2014,4Good,raised funds from,A5 Investimentos,"BRL 3,500,000",
5/1/2014,Datastorm,raised funds from,Stefanini,,
5/1/2014,iMusica,was acquired by,Claro,"BRL 49,100,000",
5/1/2014,Clicksign,raised funds from,Redpoint e.ventures,,
4/1/2014,Bidu,raised funds from,"Otto Capital
Monashees Capital
Bertelsmann
Amadeus Capital Partners","BRL 20,000,000",
4/1/2014,Mova Mais,raised funds from,T-BDH Capital,USD,
4/1/2014,Emporio Compras,raised funds from,NXTP Labs,"USD 100,000",http://dealbook.co/deals?page=17
4/1/2014,Marerua Ltda,raised funds from,"Eduardo Steiner
Koolen Participations B.V.","USD 532,000",
4/1/2014,The Social Radio,raised funds from,NXTP Labs,"USD 25,000",
4/1/2014,GetNet,was acquired by,Banco Santander,"BRL 1,100,000,000",
4/1/2014,Intelipost,raised funds from,Project-A Ventures,"BRL 800,000",
3/1/2014,Work Image,was acquired by,Tivit,,
3/1/2014,Compreauto,was acquired by,Webmotors,,
3/1/2014,Agrid,incubated by,SEED - Startups and Entrepreneurship Ecosystem Development,"BRL 68,000",
3/1/2014,BebêStore,raised funds from,"W7 Venture Capital
Atomico","BRL 30,000,000",
3/1/2014,OndaLocal,raised funds from,"Rigi Ventures
Bolt Ventures","BRL 1,600,000",
3/1/2014,CTIS,was acquired by,Sonda,"USD 170,000,000",
3/1/2014,Vindi,raised funds from,,"BRL 1,000,000",
3/1/2014,Comprova.com,was acquired by,Docusign,,
2/1/2014,Pethub,raised funds from,Altivia Ventures,"BRL 200,000",
2/1/2014,Union Softwares,was acquired by,Imovelweb,,
2/1/2014,Viva Real,raised funds from,Dragoneer Investment Group,"USD 13,000,000",
2/1/2014,Fligoo,raised funds from,NXTP Labs,"USD 50,000",
2/1/2014,EscolherSeguro,raised funds from,Warehouse Investimentos,"BRL 3,000,000",
2/1/2014,iFood,raised funds from,Movile,"BRL 5,000,000",
2/1/2014,Ideame,raised funds from,NXTP Labs,"USD 25,000",
2/1/2014,Qranio,raised funds from,Gui Afonso,"BRL 600,000",
2/1/2014,Descomplica,raised funds from,"500 Startups
Valor Capital
Valar Ventures
El Area
Social+Capital Partnership
Lee Jacobs","USD 5,000,000",
2/1/2014,Memed,raised funds from,Redpoint e.ventures,,
1/1/2014,Domínio Sistemas,was acquired by,Thomson Reuters,,
1/1/2014,Central do Delivery,was acquired by,iFood,,
1/1/2014,iBillionaire,raised funds from,NXTP Labs,"USD 100,000",
1/1/2014,ComentaTV,was acquired by,Wayin,,
1/1/2014,RJ Consultoria,was acquired by,Bematech,"BRL 16,500,000",
1/1/2014,Aceco TI,was acquired by,KKR,,
12/1/2013,Imóvel do Proprietário,was acquired by,Properati,,
1/1/2014,Nubank,raised funds from,"Kaszek Ventures
Sequoia Capital","USD 2,000,000",
12/1/2013,Widow Games,raised funds from,NXTP Labs,"USD 100,000",
12/1/2013,Mandic,raised funds from,Intel Capital,,
12/1/2013,MSTech,was acquired by,Abril Educação,"BRL 25,000,000",
12/1/2013,Gone!,raised funds from,NXTP Labs,"USD 100,000",
12/1/2013,Forma Fina,raised funds from,NXTP Labs,"USD 100,000",
12/1/2013,ComentaTV,raised funds from,NXTP Labs,"USD 75,000",
12/1/2013,ComentaTV,raised funds from,NXTP Labs,"USD 100,000",
12/1/2013,Eyso,incubated by,Germinadora,,
12/1/2013,RealISO,was acquired by,Daryus,"BRL 5,000,000",
12/1/2013,Blumpa,incubated by,Germinadora,,
12/1/2013,Pagar.me,raised funds from,Grid Investments,,
12/1/2013,Voopter,raised funds from,Global Founders Capital,"USD 1,200,000",
12/1/2013,Asyst International,was acquired by,Algar Telecom,"BRL 103,000,000",
12/1/2013,Voran,was acquired by,Genesys,,
12/1/2013,PSafe,raised funds from,"Redpoint e.ventures
Qihoo 360","USD 30,000,000",
12/1/2013,Ciashop,was acquired by,Totvs,"BRL 16,400,000",
11/1/2013,Wiki4Fit,raised funds from,Opus Software,,
11/1/2013,Pixeon,raised funds from,Riverwood Capital,"BRL 50,000,000",
11/1/2013,Glamit,raised funds from,NXTP Labs,"USD 33,000",
11/1/2013,CargoBR,raised funds from,,,
11/1/2013,WeHostels,was acquired by,Student Universe,,
11/1/2013,aceitaFacil Pagamentos,incubated by,SEED - Startups and Entrepreneurship Ecosystem Development,"BRL 80,000",
11/1/2013,Meu Espelho,was acquired by,Abril Participações,,
11/1/2013,Playground,raised funds from,Grid Investments,"BRL 1,000,000",
11/1/2013,Vivere,was acquired by,Accenture,,
11/1/2013,Loggi,raised funds from,,"BRL 2,000,000",
10/1/2013,Ojala,raised funds from,NXTP Labs,"USD 80,000",
10/1/2013,Easy Taxi,raised funds from,"iMena
Rocket Internet","BRL 15,000,000",
10/1/2013,Resultados Digitais,raised funds from,DGF Investimentos,,
10/1/2013,Shopperception,raised funds from,NXTP Labs,"USD 130,000",
10/1/2013,Afluenta,raised funds from,NXTP Labs,"USD 500,000",
10/1/2013,ContaAzul,raised funds from,"Napkn Ventures
Valar Ventures
Monashees Capital
Ribbit Capital",,
10/1/2013,Ecosynth,raised funds from,Inseed Investimentos,"BRL 3,000,000",
10/1/2013,Izzui,raised funds from,,"BRL 3,000,000",
10/1/2013,Afluenta,raised funds from,NXTP Labs,"USD 30,000",
10/1/2013,CachorroGato,raised funds from,,"BRL 400,000",
10/1/2013,Tutum,raised funds from,NXTP Labs,"USD 25,000",
10/1/2013,Devex Mining,was acquired by,Hexagon,,
10/1/2013,Veduca,raised funds from,"500 Startups
Macmillan Digital Education
Mountain do Brasil","BRL 1,100,000",
9/1/2013,Hotel Urbano,raised funds from,Insight Venture Partners,"USD 20,000,000",
9/1/2013,The Other Guys,raised funds from,NXTP Labs,"USD 25,000",
9/1/2013,Evino,raised funds from,Project-A Ventures,"BRL 3,000,000",
10/1/2013,FormaFina,raised funds from,"500 Startups
El Paso Advisors
IG Angels
Start Capital
Plug and Play
NXTP Labs
Redpoint e.ventures","BRL 3,000,000",
9/1/2013,ViaConvo,raised funds from,,"BRL 800,000",
9/1/2013,BTCTrip,raised funds from,NXTP Labs,"USD 25,000",
9/1/2013,PagCom,raised funds from,,"BRL 2,000,000",
9/1/2013,Dress & Go,raised funds from,A5 Investimentos,"BRL 1,000,000",
9/1/2013,Enjoei,raised funds from,Monashees Capital,"USD 2,970,800",
9/1/2013,Vitrina,raised funds from,Christian Ribeiro,"BRL 1,000,000",
8/1/2013,MegaMenu,was acquired by,HelloFood Brasil,,
9/1/2013,ComparaOnline.com,raised funds from,"Kaszek Ventures
Endeavor Catalyst
Rise Capital
Ribbit Capital","BRL 27,000,000",
8/1/2013,Fligoo,raised funds from,NXTP Labs,"USD 25,000",
8/1/2013,VU Security,raised funds from,NXTP Labs,"USD 25,000",
8/1/2013,Kidbox,raised funds from,NXTP Labs,"USD 500,000",
8/1/2013,ClickBus,raised funds from,"LIH
Rocket Internet","BRL 5,000,000",
8/1/2013,Satellogic,raised funds from,NXTP Labs,"USD 25,000",
8/1/2013,Adtrade,raised funds from,Project-A Ventures,"BRL 1,000,000",
7/1/2013,Opus Software,was acquired by,Linx,"BRL 9,000,000",
7/1/2013,Widow Games,raised funds from,NXTP Labs,"USD 25,000",
7/1/2013,iBillionaire,raised funds from,NXTP Labs,"USD 44,000",
7/1/2013,Everypost,raised funds from,NXTP Labs,"USD 150,000",
7/1/2013,Sontra,raised funds from,"Mola
NXTP Labs
DHL","BRL 700,000",
7/1/2013,Sontra,incubated by,NXTP Labs,"USD 25,000",
7/1/2013,Easy Food,raised funds from,Confrapar,"BRL 2,300,000",
7/1/2013,All In Mail,was acquired by,Locaweb,,
7/1/2013,Oxibiz,was acquired by,Web Invest Group,"BRL 1,200,000",
7/1/2013,Sonoma,raised funds from,500 Startups,"BRL 1,000,000",
7/1/2013,ZeroPaper,raised funds from,Totvs Ventures,,
6/1/2013,Easy Taxi,raised funds from,LIH,"USD 15,000,000",
6/1/2013,Oppten,raised funds from,NXTP Labs,"USD 25,000",
6/1/2013,Emporio Compras,raised funds from,NXTP Labs,"USD 25,000",
5/1/2013,Starline,raised funds from,,"BRL 3,000,000",
6/1/2013,Olook,raised funds from,Monashees Capital,"USD 3,913,231",
5/1/2013,Ilusis Interactive Graphics,raised funds from,Confrapar,,
5/1/2013,Have a Nice Beer,was acquired by,Wine,,
5/1/2013,Juv&You,raised funds from,e.Bricks Digital,,
5/1/2013,Xeriph,was acquired by,Abril Participações,,
5/1/2013,Runrun.it,raised funds from,"500 Startups
Monashees Capital",,
5/1/2013,EduK,raised funds from,Monashees Capital,,
5/1/2013,Rock Content,raised funds from,Abril Participações,,
5/1/2013,Sinimanes,raised funds from,NXTP Labs,"USD 25,000",
5/1/2013,Gone!,raised funds from,NXTP Labs,"USD 25,000",
5/1/2013,The Fun League,raised funds from,NXTP Labs,"USD 25,000",
5/1/2013,WPensar,raised funds from,Vox Capital,,
5/1/2013,Tale Me Stories,raised funds from,NXTP Labs,"USD 25,000",
5/1/2013,b-datum,raised funds from,Haya Investimentos,"BRL 2,800,000",
5/1/2013,Pinion,raised funds from,"Joá Investimentos
Marcelo Loureiro","BRL 1,200,000",
5/1/2013,Nuvem Shop,raised funds from,Trindade Investimentos,"BRL 2,000,000",
5/1/2013,Open English,raised funds from,"Redpoint Ventures
Insight Venture Partners
Technology Crossover Ventures","USD 65,000,000",
4/1/2013,Mobly,raised funds from,Cisneros,"USD 10,000,000",
4/1/2013,TrabalhoJá,raised funds from,Capital Indigo,"USD 5,500,000",
4/1/2013,Netpoints,raised funds from,Grupo Bozano,"BRL 100,000,000",
4/1/2013,Technorides,raised funds from,NXTP Labs,"USD 25,000",
4/1/2013,Sol Soluções Online,was acquired by,Planus,"BRL 3,000,000",
4/1/2013,GuideCentral,raised funds from,NXTP Labs,"USD 33,000",
4/1/2013,Profusion,was acquired by,Intel,,
4/1/2013,Evino,raised funds from,Project-A Ventures,,
4/1/2013,ProveAgora,raised funds from,HFPX Participações,,
4/1/2013,GetNinjas,raised funds from,"Kaszek Ventures
Monashees Capital
Otto Capital","USD 3,000,000",
4/1/2013,MinuTrade,raised funds from,Redpoint e.ventures,,
3/1/2013,I.Systems,raised funds from,Fundo Pitanga,,
3/1/2013,OpenTech,raised funds from,DLM,"BRL 10,000,000",
3/1/2013,Blucarros,was acquired by,RBS,,
4/1/2013,Pitzi,raised funds from,"Kaszek Ventures
João Alceu Amoroso Lima
José Marin
Fabrice Grinda
Thrive Capital
Initial Capital
Flybridge Capital",,
3/1/2013,ZoeMob.com,raised funds from,e.Bricks Digital,,
3/1/2013,Crowd.Mobi,raised funds from,João Kepler Braga,"BRL 300,000",
3/1/2013,Zynk,raised funds from,Zenvia,"BRL 5,000,000",
3/1/2013,Geofusion,raised funds from,Intel Capital,,
3/1/2013,CortaContas,was acquired by,ComparaOnline.com,,
3/1/2013,CellBroker,was acquired by,SolutionTech,"BRL 2,300,000",
3/1/2013,BebêStore,raised funds from,"Atomico
W7 Venture Capital","USD 10,200,000",
3/1/2013,Seller,was acquired by,Linx,"BRL 10,135,000",
3/1/2013,Senior Solution,raised funds from,,"BRL 62,100,000",
3/1/2013,Direção Processamento de Dados,was acquired by,Linx,"BRL 26,485,000",
3/1/2013,WebRadar,raised funds from,Intel Capital,,
3/1/2013,PrizEasy,raised funds from,Brazil Startups,"BRL 80,000",
3/1/2013,Startupi,raised funds from,"Aceleratech
ASA Capital
In Hsieh
Trindade Investimentos
Jacard Investimentos
Mountain do Brasil
Initial Capital
e.Bricks Digital
Cassio Spina
Redpoint e.ventures","USD 300,000",
3/1/2013,Cuponation,raised funds from,Holtzbrinck,"BRL 23,000,000",
2/1/2013,Jánamesa,raised funds from,Otto Capital,"BRL 1,500,000",
2/1/2013,Natue,raised funds from,Project-A Ventures,,
3/1/2013,Rock Content,raised funds from,"Digital News Ventures
e.Bricks Digital
Napkn Ventures","USD 500,000",
